name,services,type,treats,street,city_state,phone,insurance,hcps_count,hcps_names
QUANTUM HEALTH PRACTICE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","505 Old York Road, Unit 7A","Jenkintown, PA 19046",267-626-2334,Most private insurance and public insurance plans,1,CAROL LUDOLPH
MULBERRY MEDICAL CENTER,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1405 Mulberry St.,"Scranton, PA 18510",570-342-8199,Most private insurance and public insurance plans,2,"YITZCHOK KURTZER,JORDYN O'LEARY"
NEFF DRUGS INC BAEDERWOOD PHARMACY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1585 the fairway,"Jenkintown, PA 19046",215-887-7877,Most private insurance and public insurance plans,0,NA
GEISINGER MAT PROGRAM,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3 West Olive Street,"Scranton, PA 18508",570-207-6299,Most private insurance and public insurance plans,1,BENJAMIN KUM
CHARLES O'BRIEN CENTER FOR ADDICTION TREATMENT AT PENN MEDICINE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3535 Market Street Suite 500,"Philadelphia, PA 19104",215-746-5900,"Limited health network, please contact office to learn more",1,EDWIN KIM
CONSORTIUM,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",451 S. University Ave,"Philadelphia, PA 19104",215-596-8000,"Limited health network, please contact office to learn more",1,WALTER BANTOM
Mount Bethel Medical Center,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10 Mount Bethel Plaza,"Mt. Bethel, PA 18343",570-897-7559,"Most private insurance, no public insurance plans",1,JON RASO
GAUDENZIA BROAD ST,Prescriber,Inpatient Facility,"Alcohol Dependence, Opioid Dependence",3025 N. Broad St,"Philadelphia, PA 19132",215-223-9460,Most private insurance and public insurance plans,1,JAMES JONES
Horizon Medical Corporation,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1721 North Main Avenue,"Scranton, PA 18508",570-346-8417,Most private insurance and public insurance plans,1,PAUL REMICK
NEFF DRUGS 9 LLC -SUNRAY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1501 N Broad St,"Philadelphia, PA 19122",215-235-4000,Most private insurance and public insurance plans,0,NA
FOUNDATIONS RECOVERY CENTER,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1825 Woodlawn Drive Suite 104,"Woodlawn, MD 21207",410-862-1597,"Most private insurance, no public insurance plans",1,JEANNETTE MITCHELL
Alpha Medicor Health Group - Dunmore,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1128 Meade Street,"Dunmore, PA 18512",888-916-9937,No Insurance accepted,1,DAVID GORDON
ETHOS TREATMENT,Counseling,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1528 Walnut St,"Philadelphia, PA 19102",267-669-0300,"Most private insurance, no public insurance plans",1,Garth Reid
SOBRIETY NOW – LAND TITLE BUILDING (22ND FL),"Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",100 S. Broad St. Suite 2230,"Philadelphia, PA 19110",267-704-9669,Most private insurance and public insurance plans,1,SCOTT COOK
Dunmore Comprehensive Treatment Center,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",118 Monahan Avenue,"Dunmore, PA 18512",570-344-5327,"Most public insurance, no private insurance plans",1,OLAPEJU SIMOYAN
VILLA MARIA OF BALTIMORE CITY (FALLSWAY),"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",725 Fallsway,"Baltimore, MD 21202",667-600-3009,"Most public insurance, no private insurance plans",1,EWERE OSIAN-DUGAN
MEDICUS URGENT CARE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1208 O'Neill Highway,"Dunmore, PA 18512",570-207-2612,Most private insurance and public insurance plans,1,DONNA EGET
TEMPLE UNIVERSITY HOSPITAL EPISCOPAL CAMPUS,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",100 East Lehigh Avenue Tower Bld. 6th FL.,"Philadelphia, PA 19125",215-707-1587,Most private insurance and public insurance plans,1,KELLY LATTANZI
FRIENDLY PHARMACY LTD,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2258 N Front St.,"Philadelphia, PA 19133",215-425-5230,Most private insurance and public insurance plans,0,NA
SANDPIPER MD,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","407 South 10th Street, 2nd Floor","Philadelphia, PA 19147",215-242-0420,No Insurance accepted,1,JONATHAN BEATTY
ACCESS BEHAVIORAL HEALTH – WINDSOR MILL,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3110 N Rolling Rd,"Windsor Mill, MD 21244",410-298-1931,Most private insurance and public insurance plans,1,MODUPE TOGUN
NEFF DRUGS 20 LLC SUNRAY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",424 E Allegheny Ave.,"Philadelphia, PA 19134",215-423-8500,Most private insurance and public insurance plans,0,NA
HEALTH ALLIANCE ASSOCIATES,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",13 East Hamilton Street,"Baltimore, MD 21202",443-613-6118,Most private insurance and public insurance plans,2,"LELIN CHAO,KATHLEEN ODELL"
CANNON CARE,Prescriber,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2300 South Broad St Suite 206,"Philadelphia, PA 19145",215-207-6758,"Limited health network, please contact office to learn more",1,GREGORY CANNON
NEFF DRUGS 28 LLC - YORK ST. PHARMACY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2334 E. York St.,"Philadelphia, PA 19125",215-427-1200,Most private insurance and public insurance plans,0,NA
NEFF DRUGS 31 LLC SUNRAY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",825 E Allegheny Ave.,"Philadelphia, PA 19134",215-425-7700,Most private insurance and public insurance plans,0,NA
KOLMAC OUTPATIENT RECOVERY CENTERS - BALTIMORE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1 North Charles St. Suite 602,"Baltimore, MD 21201",443-449-2996,"Limited health network, please contact office to learn more",1,LESLIE BRADLEY-POFF
EXHALE BALTIMORE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1 N Charles St. Suite 602,"Baltimore, MD 21201",443-853-8086,"Limited health network, please contact office to learn more",1,LESLIE BRADLEY-POFF
TOTAL BODY PAIN MANAGEMENT,"Prescriber, Injection Provider, Counseling",Outpatient Facility,,"2840 Pine Road, Unit D1","Huntingdon Valley, PA 19006",215-342-3600,No Insurance accepted,1,STUART KAUFFMAN
CHESAPEAKE WELLNESS CENTER - CECILTON,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",251 South Bohemia Avenue,"Cecilton, MD 21913",410-275-8156,Most private insurance and public insurance plans,3,"VIRGINIA SISE,PATRICIA POWELL,PAUL KATZ"
NEFF DRUGS 24 LLC,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2244 E. Allegheny Ave.,"Philadelphia, PA 19134",215-203-0194,Most private insurance and public insurance plans,0,NA
CLEAN SLATE CENTERS- SOUTH PHILADELPHIA,,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1500 S. Christopher Columbus BLVD 2nd FL,"Philadelphia, PA 19147",267-606-4228,"Limited health network, please contact office to learn more",2,"MARIA LEPORE,Julie Ohara"
NEFF DRUGS 27 LLC - PORT RICHMOND PHARMACY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2512 E. Clearfield St.,"Philadelphia, PA 19134",215-426-5099,Most private insurance and public insurance plans,0,NA
KRYSS MEDICAL INC.,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",11054 RENNARD ST. UNIT 11054,"PHILADELPHIA, PA 19116",215-698-6480,Most private insurance and public insurance plans,1,MERI KRYSS
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",2101-41 COTTMAN AVENUE,"Philadelphia, PA 19149",877-466-8028,,0,NA
PEACE HEALTHCARE INC - DUNDALK,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6806 Holabird Avenue,"Dundalk, MD 21222",410-779-9175,Most private insurance and public insurance plans,1,PRISCILLA BENEWAAH
SUMAT CENTERS - DUNDALK,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",6730 Holabird Ave Suite 201,"Dundalk, MD 21222",410-330-3380,Most private insurance and public insurance plans,1,FAHIM KASHIF
CONVERSION HEALTH SYSTEM,"Prescriber, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1709 Holaview Road,"Dundalk, MD 21222",443-549-4113,Most private insurance and public insurance plans,1,TENICIA WASHINGTON
IDEAL OPTION - BALTIMORE - CATONSVILLE,"Prescriber, Injection Provider",Outpatient Facility,,516 N ROLLING ROAD SUITE 301,"CATONSVILLE, MD 21228",877-522-1275,Most private insurance and public insurance plans,2,"FELIX ADEYEMI,TRISHA PORTER"
PROJECT H.O.P.E.,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",519 -525 West St.,"Camden, NJ 08103",856-968-2320,Most private insurance and public insurance plans,1,STEPHANIE SANTORO
SERENITY TREATMENT CENTER - HAGERSTOWN,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","580 Northern Avenue, Suite D","Hagerstown, MD 21742",301-732-5328,Most private insurance and public insurance plans,1,CHRISTINE MARQUARDT
PASSPORT HEALTH,Injection Provider,Outpatient Facility,,1702 Whetstone Way,"Baltimore, MD 21230",,,1,KENNETH LESSANS
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",6601 ROOSEVELT BLVD.,"Philadelphia, PA 19149",877-466-8028,,0,NA
"DOMINION HEALTHCARE SERVICES, INC.","Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","3455 Wilkens Ave, Suite 208","Baltimore, MD 21229",443-848-9123,Most private insurance and public insurance plans,1,ANGELA AWUAH
CAMCARE GATEWAY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",817 Federal Street,"Camden, NJ 08103",856-541-8217,Most private insurance and public insurance plans,2,"GENEAN DOYLE,STEPHANIE SANTORO"
GREATER NORTHEAST MEDICAL GROUP,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","10890 Bustleton Avenue, Suite 103","Philadelphia, PA 19116",215-464-6104,Most private insurance and public insurance plans,1,ZOYA BERENSON
"JAN WIDERMAN, DO OFFICE","Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",10800 Bustleton Avenue,"Philadelphia, PA 19116",215-934-6777,Most private insurance and public insurance plans,2,"ALBERTO LARRIEU,JAN WIDERMAN"
1ST MEDICAL OF ANNAPOLIS - Catonsville,"Prescriber, Injection Provider",Outpatient Facility,Opioid Dependence,"405 Frederick Road, Suite 11","Catonsville, MD 21228",443-280-2407,"Most private insurance, no public insurance plans",1,ROSEMARY INGADO
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",460 EAST MAIN STREET,"Middletown, DE 19709",877-466-8028,,0,NA
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",105 E STREET RD,"Feasterville Trevose, PA 19053",877-466-8028,,0,NA
MEDIVERSITY HEALTH - SALEM,"Prescriber, Injection Provider, Counseling","Inpatient Facility, Outpatient Facility","Alcohol Dependence, Opioid Dependence","330 Salem-Woodstown Road, Suite 7","Salem, NJ 08079",856-469-8825,Most private insurance and public insurance plans,1,AHSAN ABDULGHANI
MAT CLINICS - DUNDALK,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",40 S DUNDALK AVE STE 400,"DUNDALK, MD 21222",410-220-0780,Most private insurance and public insurance plans,1,ENRIQUE OVIEDO
OUTREACH RECOVERY - PHILADELPHIA,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","9815 Roosevelt Boulevard, Unit J","Philadelphia, PA 19114",410-800-4466,,1,ERICA MOLARO
PSYCHIATRY SPECIALTIES CLINICS,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",3570 St Johns Ln Suite 207,"Ellicott City, MD 21042",410-988-8092,Most private insurance and public insurance plans,1,BIKASH SHARMA
MY FATHER'S HOUSE,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",104 N. King Street,"Gloucester City, NJ 08030",856-742-0900,"Limited health network, please contact office to learn more",1,EDENA WALDEN
"COMPASSIONATE WELLNESS CENTER, LLC","Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",44 N POTOMAC ST STE 101,"HAGERSTOWN, MD 21740",240-513-6001,Most private insurance and public insurance plans,2,"FOLAKE ALOBA,IVAN ZAMA"
MORE WITH DOC C Hagerstown,"Prescriber, Injection Provider, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","339 E. Antietam St., Suite 4","Hagerstown, MD 21740",410-800-4466,"Most public insurance, no private insurance plans",1,KELLY MURRAY
MOUNTAIN MANOR - FREDERICK,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","174 Thomas Johnson Drive, Suite 102","Frederick, MD 21702",301-662-1407,Most private insurance and public insurance plans,2,"VICTORIA SELBY,CHRISTOPHER HOLT"
SOUTHSIDE PEDIATRICS & ADULT CARE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence","1185 Mt. Aetna Rd., Suite 200","Hagerstown, MD 21740",240-513-6300,Most private insurance and public insurance plans,0,NA
BLACK ROCK INTEGRATIVE MEDICINE,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",17666 Technology Blvd,"Hagerstown, MD 21740",301-790-4938,"Limited health network, please contact office to learn more",0,NA
MT. COBB MEDICAL CENTER,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",1434 Mt. Cobb Rd.,"Lake Ariel, PA 18436",570-689-2673,Most private insurance and public insurance plans,1,JORDYN O'LEARY
HILDA’S PLACE,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",2480 Roxbury Mills Road Suite 10,"Glenwood, MD 21738",410-489-3737,Most private insurance and public insurance plans,1,SOPHIA FLYNN
CENTER FOR FAMILY GUIDANCE - WEST DEPTFORD,"Prescriber, Injection Provider",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",875 KINGS HWY STE 100,"WEST DEPTFORD, NJ 08096",856-251-0500,"Most private insurance, no public insurance plans",0,NA
PHOENIX HEALTH CENTER,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",217 E ANTIETAM ST,"HAGERSTOWN, MD 21740",240-420-0000,"Limited health network, please contact office to learn more",3,"COLIN OTTEY,CAMERON DUFFY,J RAMSAY FARAH"
THE HEALING WAY,"Prescriber, Injection Provider, Counseling",Outpatient Facility,"Alcohol Dependence, Opioid Dependence",7900 Frankford Avenue,"Philadelphia, PA 19136",215-335-3520,No Insurance accepted,2,"LINELL BAYLIS,STEVEN MILLS"
SAVING LIVES CENTER FAMILY CLINIC AND URGENT CARE,"Prescriber, Injection Provider","Inpatient Facility, Outpatient Facility",Opioid Dependence,"188 Thomas Johnson Dr, Ste 102","Frederick, MD 21702",240-575-9940,Most private insurance and public insurance plans,1,OLUWAKEMI OSIDELE
Pyramid Healthcare - Hillside Recovery,"Prescriber, Injection Provider",Inpatient Facility,,420 Supreme Court Drive,"East Stroudsburg, PA 18032",570-213-3300,Most private insurance and public insurance plans,1,NIRMALA YARRA
IDEAL OPTION - HAGERSTOWN,"Prescriber, Injection Provider",Outpatient Facility,,"265 Mill Street, Suite 100","Hagerstown, MD 21740",877-522-1275,Most private insurance and public insurance plans,1,SHAWNA CHISHOLM
NEFF DRUGS 23 LLC - HOLMESBURG PHARMACY,Injection Provider,Outpatient Facility,"Alcohol Dependence, Opioid Dependence",8039 Frankford Ave,"Philadelphia, PA 19136",215-332-2400,Most private insurance and public insurance plans,0,NA
INTERNET BEHAVIORAL CARE,"Prescriber, Injection Provider, Counseling",,"Alcohol Dependence, Opioid Dependence",4610 E. Street Rd.,"Trevose, PA 19053",267-699-3000,"Most private insurance, no public insurance plans",1,AMY BUSH
ACME,Injection Provider,"Outpatient Facility, Retail Pharmacy","Alcohol Dependence, Opioid Dependence",48 WEST RD,"Newtown, PA 18940",877-466-8028,,0,NA
COVE FORGE BEHAVIORAL HEALTH SYSTEM,"Prescriber, Injection Provider, Counseling, Opioid Detox to initiate VIVITROL",Inpatient Facility,"Alcohol Dependence, Opioid Dependence",202 Cove Forge Road,"Williamsburg, PA 16693",800-873-2131,Most private insurance and public insurance plans,4,"Sheila Burk,APRIL BROOKS,JOHN SYMONS,KEVIN MCKINNEY"
